"344288, г. Сыктывкар, ул. Чехова, 1"
"614164, г.Сыктывкар,  ул. Степная, 30"
"394242, г. Сыктывкар, ул. Коммунистическая, 43"
"660540, г. Сыктывкар, ул. Солнечная, 25"
"125837, г. Сыктывкар, ул. Шоссейная, 40"
"125703, г. Сыктывкар, ул. Партизанская, 49"
"625283, г. Сыктывкар, ул. Победы, 46"
"614611, г. Сыктывкар, ул. Молодежная, 50"
"454311, г.Сыктывкар, ул. Новая, 19"
"660007, г.Сыктывкар, ул. Октябрьская, 19"
"603036, г. Сыктывкар, ул. Садовая, 4"
"450983, г.Сыктывкар, ул. Комсомольская, 26"
"394782, г. Сыктывкар, ул. Чехова, 3"
"603002, г. Сыктывкар, ул. Дзержинского, 28"
"450558, г. Сыктывкар, ул. Набережная, 30"
"394060, г.Сыктывкар, ул. Фрунзе, 43"
"410661, г. Сыктывкар, ул. Школьная, 50"
"625590, г. Сыктывкар, ул. Коммунистическая, 20"
"625683, г. Сыктывкар, ул. 8 Марта"
"400562, г. Сыктывкар, ул. Зеленая, 32"
"614510, г. Сыктывкар, ул. Маяковского, 47"
"410542, г. Сыктывкар, ул. Светлая, 46"
"620839, г. Сыктывкар, ул. Цветочная, 8"
"443890, г. Сыктывкар, ул. Коммунистическая, 1"
"603379, г. Сыктывкар, ул. Спортивная, 46"
"603721, г. Сыктывкар, ул. Гоголя, 41"
"410172, г. Сыктывкар, ул. Северная, 13"
"420151, г. Сыктывкар, ул. Вишневая, 32"
"125061, г. Сыктывкар, ул. Подгорная, 8"
"630370, г. Сыктывкар, ул. Шоссейная, 24"
"614753, г. Сыктывкар, ул. Полевая, 35"
"426030, г. Сыктывкар, ул. Маяковского, 44"
"450375, г. Сыктывкар ул. Клубная, 44"
"625560, г. Сыктывкар, ул. Некрасова, 12"
"630201, г. Сыктывкар, ул. Комсомольская, 17"
"190949, г. Сыктывкар, ул. Мичурина, 26"
